CustomerID,Age,Gender,MaritalStatus,Education,Occupation,AnnualIncome,SpendingScore,MembershipStatus,OnlineActivityScore,TenureYears,PreferredChannel,FrequencyOfPurchase,AvgTransactionValue,Region,LoyaltyScore,ProductCategory,CouponUsageRate,SatisfactionRating
CUST0024,19,Other,Married,PhD,Student,143216,4,None,11,27.2,Online,5,339.76,West,30,Clothing,0.83,1
CUST0025,38,Other,Single,Master's,Retired,148175,51,Platinum,70,5.5,Online,37,432.28,East,78,Home & Living,0.8,4
CUST0026,50,Female,Married,Master's,Unemployed,80901,85,Platinum,38,3.4,Both,31,147.9,Central,54,Books,0.36,4
CUST0027,29,Female,Single,Bachelor's,Student,113046,67,Silver,16,12.8,Online,28,32.05,North,87,Home & Living,0.22,3
CUST0028,39,Other,Divorced,None,Retired,105012,45,Platinum,44,0.1,Both,28,870.43,South,11,Electronics,0.93,3
CUST0029,61,Male,Divorced,None,Unemployed,93278,8,Platinum,10,6.5,Online,30,558.59,East,31,Clothing,0.31,3
CUST0030,42,Other,Widowed,Bachelor's,Self-employed,27391,87,None,69,11.0,In-store,18,612.64,Central,6,Groceries,0.4,1
CUST0031,66,Female,Single,PhD,Student,117476,16,Platinum,22,0.3,In-store,44,927.72,Central,11,Clothing,0.7,4
CUST0032,44,Male,Married,High School,Student,135721,77,Gold,90,3.0,Both,27,668.47,East,77,Electronics,0.29,2
CUST0033,59,Male,Widowed,High School,Self-employed,112537,67,Silver,69,1.1,In-store,35,693.94,South,12,Beauty,0.82,1
CUST0034,45,Female,Widowed,High School,Self-employed,96159,9,Platinum,37,4.2,Both,26,789.1,West,66,Groceries,0.07,5
CUST0035,33,Female,Widowed,Bachelor's,Student,146040,60,Silver,1,5.2,Both,39,125.18,North,53,Groceries,0.79,1
CUST0036,32,Female,Married,Bachelor's,Self-employed,50503,78,Silver,85,1.8,In-store,49,366.56,Central,99,Home & Living,0.6,4
CUST0037,64,Other,Widowed,Master's,Professional,90403,77,Silver,83,3.1,Both,18,968.53,South,36,Books,0.57,5
CUST0038,68,Other,Married,High School,Unemployed,79286,71,Platinum,88,1.6,In-store,33,923.7,North,17,Home & Living,0.46,1
CUST0039,61,Male,Widowed,PhD,Unemployed,89842,15,Platinum,78,2.3,Online,25,885.23,East,28,Groceries,0.28,4
CUST0040,69,Female,Married,PhD,Unemployed,119927,71,Silver,92,0.9,Online,31,457.57,Central,92,Groceries,0.46,4
CUST0041,20,Male,Divorced,High School,Professional,29908,98,Gold,71,10.8,In-store,37,858.62,West,22,Books,0.45,2
CUST0042,54,Male,Divorced,High School,Self-employed,52228,41,Silver,36,0.1,In-store,2,57.91,East,7,Clothing,0.58,1
CUST0043,68,Male,Divorced,High School,Retired,38386,22,Gold,48,10.7,In-store,33,157.03,Central,15,Books,0.28,4
CUST0044,24,Male,Divorced,Bachelor's,Self-employed,43302,24,Silver,51,4.2,In-store,39,419.83,South,96,Beauty,0.08,3
CUST0045,38,Female,Divorced,Bachelor's,Student,75815,44,None,32,2.0,Online,43,488.56,North,11,Home & Living,0.15,4
CUST0046,26,Male,Widowed,Bachelor's,Unemployed,78344,1,Silver,21,6.4,Both,43,270.87,North,24,Clothing,0.7,2
CUST0047,56,Female,Widowed,None,Self-employed,126603,10,Silver,4,3.5,Both,32,362.91,Central,67,Home & Living,0.02,4
CUST0048,35,Female,Widowed,PhD,Retired,76114,80,Platinum,17,3.5,Online,18,171.15,East,30,Books,0.86,1
CUST0049,21,Other,Married,PhD,Student,40525,72,Gold,37,0.6,Both,17,494.24,West,70,Clothing,0.69,1
CUST0050,42,Female,Married,Master's,Professional,94818,56,None,36,2.5,Online,34,795.9,South,66,Books,0.77,5
CUST0051,31,Other,Married,Bachelor's,Professional,129589,89,Gold,93,1.4,Both,39,664.75,Central,61,Beauty,0.84,1
CUST0052,67,Female,Married,None,Retired,109715,50,None,94,0.1,In-store,7,116.71,South,78,Electronics,0.12,5
CUST0053,26,Female,Divorced,None,Student,21644,12,Silver,63,2.2,In-store,42,492.71,North,41,Groceries,0.82,3
CUST0054,43,Female,Divorced,PhD,Unemployed,116154,89,Platinum,9,0.5,In-store,35,700.67,West,82,Clothing,0.5,2
CUST0055,19,Other,Divorced,Bachelor's,Self-employed,58469,81,Platinum,78,1.5,Online,30,534.6,South,51,Groceries,0.89,3
CUST0056,37,Other,Single,Master's,Student,121609,60,Gold,41,0.5,Online,12,397.76,Central,44,Electronics,0.89,5
CUST0057,45,Male,Widowed,Bachelor's,Professional,80206,26,Platinum,47,0.5,Both,35,625.7,West,95,Clothing,0.02,4
CUST0058,64,Other,Married,High School,Retired,111462,78,Gold,43,1.1,Both,11,968.95,East,13,Groceries,0.38,4
CUST0059,24,Other,Married,Bachelor's,Retired,98178,41,Gold,81,44.0,Both,44,103.96,Central,90,Groceries,0.53,3
CUST0060,61,Other,Divorced,High School,Self-employed,101724,36,None,86,0.0,Online,4,396.12,South,12,Clothing,0.68,4
CUST0061,25,Other,Married,High School,Retired,111393,23,Gold,96,5.1,Both,25,412.54,West,82,Groceries,0.29,5
CUST0062,64,Male,Married,Master's,Retired,142314,43,None,15,0.8,In-store,48,581.2,Central,9,Groceries,0.25,2
CUST0063,52,Other,Widowed,PhD,Student,91312,6,Platinum,53,12.7,Both,32,160.65,West,85,Clothing,0.38,1
CUST0064,31,Female,Divorced,Bachelor's,Unemployed,90324,69,Gold,34,0.5,In-store,20,184.88,West,48,Groceries,0.5,5
CUST0065,34,Female,Widowed,High School,Self-employed,86196,43,Gold,97,15.5,Online,31,292.51,West,49,Groceries,0.95,5
CUST0066,53,Other,Single,Bachelor's,Student,85014,25,Silver,27,4.7,In-store,4,956.31,South,53,Home & Living,0.76,1
CUST0067,67,Other,Single,PhD,Unemployed,48340,18,Gold,1,0.0,In-store,38,736.77,Central,56,Beauty,0.43,1
CUST0068,57,Female,Single,PhD,Student,54850,62,Gold,93,11.2,In-store,47,665.08,North,40,Home & Living,0.05,2
CUST0069,21,Female,Divorced,None,Student,128711,13,Silver,12,3.7,Online,1,818.79,North,24,Electronics,0.17,2
CUST0070,19,Male,Married,PhD,Retired,26094,43,Silver,40,1.5,Online,3,136.3,South,98,Home & Living,0.46,2
CUST0071,23,Female,Divorced,Master's,Unemployed,102959,78,Platinum,79,7.3,Online,37,860.74,South,72,Home & Living,0.81,4
CUST0072,59,Female,Divorced,High School,Self-employed,20741,28,Gold,58,13.1,Online,22,598.88,West,33,Electronics,0.38,5
CUST0073,21,Other,Married,None,Self-employed,126585,18,Platinum,68,3.3,Both,17,341.98,Central,23,Groceries,0.54,1
CUST0074,46,Female,Widowed,Master's,Unemployed,137564,59,Platinum,91,1.9,Online,14,817.7,Central,77,Groceries,0.89,5
CUST0075,35,Male,Single,Bachelor's,Retired,83798,60,Silver,52,7.8,In-store,41,804.54,East,54,Home & Living,0.91,5
CUST0076,43,Female,Widowed,High School,Professional,131026,63,None,44,5.7,Online,35,847.25,East,53,Electronics,0.22,2
CUST0077,61,Other,Single,PhD,Student,125130,57,Platinum,19,11.0,Both,13,124.36,North,49,Groceries,0.04,2
CUST0078,51,Other,Divorced,High School,Retired,37164,92,None,23,5.9,Both,35,969.67,East,78,Books,0.31,5
CUST0079,27,Female,Single,Bachelor's,Unemployed,45257,51,Gold,60,1.4,Both,43,960.03,East,78,Clothing,0.7,2
CUST0080,53,Other,Divorced,None,Student,110989,56,Silver,90,13.4,In-store,2,363.89,North,80,Clothing,0.95,4
CUST0081,31,Male,Widowed,None,Self-employed,67691,27,Gold,93,0.6,Online,47,75.24,North,49,Beauty,0.08,1
CUST0082,48,Male,Divorced,None,Professional,94768,32,Gold,57,1.6,Online,13,175.39,East,60,Clothing,0.03,5
CUST0083,65,Female,Widowed,PhD,Self-employed,29026,9,Silver,26,3.7,Online,16,992.9,Central,90,Home & Living,0.88,1
CUST0084,32,Female,Married,Master's,Unemployed,45908,96,Gold,25,4.2,In-store,18,567.38,East,90,Clothing,0.75,4
CUST0085,25,Female,Married,Master's,Student,34610,84,Silver,6,0.1,In-store,7,363.06,West,65,Clothing,0.99,2
CUST0086,31,Other,Married,High School,Unemployed,78185,92,None,41,7.6,Both,45,295.32,West,32,Books,0.4,3
CUST0087,40,Male,Divorced,PhD,Student,87567,97,Gold,46,2.2,Both,36,264.42,West,79,Groceries,0.42,4
CUST0088,57,Male,Married,None,Retired,51182,68,Silver,52,2.6,Online,41,667.51,South,21,Books,0.17,3
CUST0089,38,Other,Single,None,Professional,131136,46,Platinum,58,8.3,In-store,30,425.19,West,18,Home & Living,0.12,1
CUST0090,33,Male,Widowed,Bachelor's,Retired,146642,98,Gold,37,2.4,In-store,42,965.76,Central,94,Clothing,0.58,5
CUST0091,62,Female,Widowed,Bachelor's,Retired,34288,67,None,68,0.2,Online,41,687.0,South,60,Groceries,0.36,2
CUST0092,35,Female,Single,None,Unemployed,93824,26,Silver,86,1.0,Online,7,794.12,South,13,Beauty,0.08,4
CUST0093,64,Female,Divorced,None,Professional,99425,8,Gold,91,15.6,Both,15,299.81,West,24,Beauty,0.89,2
CUST0094,41,Male,Divorced,PhD,Student,15917,6,Gold,97,0.4,Both,40,88.39,East,30,Clothing,0.2,3
CUST0095,43,Female,Widowed,Master's,Student,90602,80,Gold,52,2.2,Both,19,492.94,North,2,Clothing,0.75,3
CUST0096,42,Other,Married,Bachelor's,Self-employed,79575,24,None,14,3.5,Online,43,321.44,East,83,Beauty,0.28,5
CUST0097,62,Other,Divorced,Master's,Student,87518,48,Silver,95,3.4,Online,37,210.06,East,25,Beauty,0.81,3
CUST0098,58,Male,Divorced,PhD,Unemployed,54104,94,Platinum,25,0.0,Both,2,953.12,South,50,Home & Living,0.12,5
CUST0099,46,Other,Single,None,Retired,31999,45,Platinum,47,3.5,Both,42,449.55,South,14,Clothing,0.76,4
CUST0100,32,Other,Single,Master's,Retired,76169,13,Platinum,94,2.4,In-store,48,182.96,South,6,Beauty,0.1,5
CUST0101,62,Male,Married,None,Retired,144744,69,Silver,18,17.9,In-store,13,206.66,Central,76,Electronics,0.45,3
CUST0102,18,Female,Divorced,None,Professional,125684,25,Platinum,8,0.9,Both,40,287.9,Central,84,Beauty,0.73,1
CUST0103,42,Female,Divorced,High School,Student,74821,20,None,63,2.2,Both,41,999.32,North,87,Groceries,0.17,5
CUST0104,24,Female,Single,Master's,Unemployed,27192,82,Silver,92,2.7,In-store,43,275.33,South,30,Groceries,0.29,2
CUST0105,26,Male,Divorced,Master's,Professional,89102,82,Gold,53,2.5,Both,43,335.51,West,30,Electronics,0.86,1
CUST0106,41,Other,Widowed,None,Self-employed,129894,66,None,50,5.5,In-store,31,662.73,South,38,Home & Living,0.89,5
CUST0107,18,Female,Single,PhD,Unemployed,101795,74,Gold,38,1.2,In-store,16,301.02,Central,58,Clothing,0.04,2
CUST0108,61,Female,Married,High School,Unemployed,81677,45,Platinum,3,1.2,In-store,42,223.65,South,94,Clothing,0.17,1
CUST0109,25,Male,Single,None,Unemployed,149327,47,None,2,6.5,Online,44,167.05,Central,41,Beauty,0.12,5
CUST0110,41,Female,Divorced,Bachelor's,Retired,117412,63,Silver,63,3.5,Online,6,319.56,South,94,Groceries,0.18,4
CUST0111,28,Male,Married,Bachelor's,Unemployed,34404,76,None,28,2.7,Both,28,114.86,West,57,Home & Living,0.97,2
CUST0112,68,Other,Single,High School,Student,131545,77,Gold,10,0.9,In-store,32,28.46,North,36,Home & Living,0.55,4
CUST0113,34,Male,Widowed,PhD,Unemployed,38989,55,Silver,96,1.0,Online,44,806.6,West,64,Home & Living,0.47,3
CUST0114,25,Male,Widowed,None,Retired,123106,75,None,57,0.1,Both,10,146.52,Central,98,Beauty,0.98,5
CUST0115,52,Male,Single,Master's,Unemployed,39519,19,None,74,0.5,Both,18,778.22,East,16,Clothing,0.56,5
CUST0116,52,Male,Widowed,High School,Self-employed,37439,35,None,26,4.1,Both,4,799.57,West,88,Home & Living,0.66,2
CUST0117,50,Other,Widowed,PhD,Self-employed,133570,53,None,96,11.1,Both,9,542.54,South,78,Beauty,0.33,5
CUST0118,22,Other,Widowed,Master's,Retired,29995,26,Silver,20,1.7,Both,7,316.59,North,90,Beauty,0.38,3
CUST0119,59,Female,Married,Bachelor's,Student,38559,14,Gold,38,2.0,In-store,8,153.58,South,72,Electronics,0.59,5
CUST0120,56,Other,Widowed,Bachelor's,Student,104049,45,None,94,0.6,Both,43,739.44,South,14,Books,0.07,1
CUST0121,58,Other,Widowed,Master's,Professional,113000,44,Silver,45,2.5,In-store,7,605.37,West,31,Home & Living,0.26,4
CUST0122,45,Female,Widowed,High School,Retired,54350,88,Gold,65,0.2,Online,41,658.9,North,66,Books,0.2,3
CUST0123,24,Other,Married,Bachelor's,Unemployed,40517,65,None,90,12.5,Both,40,18.58,East,68,Clothing,0.02,3
CUST0124,26,Male,Single,None,Retired,104132,51,Gold,35,5.6,Online,3,928.24,South,65,Beauty,0.54,4
CUST0125,25,Male,Divorced,Master's,Professional,74546,43,Gold,74,23.4,In-store,17,75.63,North,55,Home & Living,0.56,4
CUST0126,29,Female,Widowed,Master's,Retired,120686,86,Silver,81,10.7,In-store,2,373.14,East,84,Groceries,0.38,3
CUST0127,51,Female,Single,Bachelor's,Retired,103151,23,Gold,64,3.2,Online,15,408.68,South,78,Clothing,0.27,4
CUST0128,50,Female,Widowed,High School,Professional,18327,56,Silver,62,3.7,Both,46,11.34,North,40,Electronics,0.65,2
CUST0129,65,Male,Married,None,Student,135318,19,None,98,1.1,Both,29,502.12,West,25,Electronics,0.13,4
CUST0130,40,Other,Single,High School,Unemployed,130945,82,Gold,34,3.1,Online,48,755.28,South,25,Books,0.52,1
CUST0131,41,Male,Married,PhD,Professional,61830,76,Gold,30,11.7,Online,22,825.04,South,3,Beauty,0.77,1
CUST0132,54,Female,Widowed,PhD,Self-employed,67446,55,Platinum,27,0.3,Online,4,880.6,North,69,Books,0.16,2
CUST0133,52,Other,Widowed,Bachelor's,Student,84341,92,None,0,10.0,Both,6,492.84,South,26,Groceries,0.75,4
CUST0134,61,Other,Married,Bachelor's,Self-employed,46085,92,None,24,2.1,Both,38,634.33,East,40,Groceries,0.76,1
CUST0135,57,Male,Divorced,Bachelor's,Student,70571,60,Platinum,42,11.5,Both,26,88.72,South,38,Electronics,0.06,5
CUST0136,39,Female,Married,PhD,Unemployed,143308,59,Platinum,83,14.1,Online,11,493.16,Central,38,Home & Living,0.02,4
CUST0137,44,Male,Widowed,High School,Unemployed,20750,33,Silver,66,5.6,Both,26,163.27,East,68,Electronics,0.97,2
CUST0138,52,Other,Married,High School,Retired,128931,19,Silver,62,5.5,In-store,17,375.95,North,7,Electronics,0.19,4
CUST0139,18,Male,Divorced,Bachelor's,Self-employed,93768,28,Gold,50,3.0,Online,24,336.01,East,94,Groceries,0.82,3
CUST0140,52,Male,Married,None,Student,50903,52,Gold,1,9.0,Both,28,429.31,Central,30,Books,0.56,3
CUST0141,54,Female,Divorced,High School,Unemployed,106036,49,Gold,81,16.3,Online,35,575.92,Central,19,Groceries,0.26,1
CUST0142,64,Female,Divorced,PhD,Professional,102954,37,Gold,63,7.5,In-store,31,903.85,South,35,Beauty,0.13,3
CUST0143,31,Other,Married,Master's,Unemployed,98014,26,Silver,73,4.9,In-store,13,400.54,South,33,Groceries,0.5,2
CUST0144,20,Male,Married,Master's,Professional,132305,99,None,68,4.7,Online,35,981.32,West,33,Groceries,0.41,1
CUST0145,18,Male,Single,Master's,Student,47101,98,Gold,8,9.5,Online,16,761.44,East,78,Electronics,0.7,2
CUST0146,22,Male,Widowed,None,Unemployed,17775,99,None,1,3.9,In-store,15,516.37,West,38,Home & Living,0.9,2
CUST0147,43,Other,Divorced,Bachelor's,Unemployed,126497,40,Gold,33,8.1,Online,43,647.59,Central,10,Electronics,0.81,3
CUST0148,31,Other,Single,PhD,Student,60619,80,Platinum,59,3.6,In-store,18,111.2,South,57,Clothing,0.27,3
CUST0149,56,Female,Married,None,Unemployed,72124,38,Gold,60,0.3,In-store,47,846.08,South,28,Groceries,0.88,2
CUST0150,44,Female,Widowed,PhD,Professional,80149,77,Gold,30,2.4,Both,37,586.53,South,78,Groceries,0.83,3
CUST0151,26,Female,Single,PhD,Unemployed,41616,87,Gold,9,2.9,Online,48,986.21,North,100,Clothing,0.93,3
CUST0152,32,Male,Divorced,Bachelor's,Self-employed,76799,54,Silver,75,0.8,Online,48,640.06,Central,38,Groceries,0.46,3
CUST0153,32,Male,Single,Master's,Retired,105221,22,Platinum,35,0.5,Both,49,835.77,South,16,Groceries,0.77,4
CUST0154,43,Female,Divorced,Bachelor's,Professional,129879,16,Gold,84,3.8,In-store,41,801.77,Central,21,Beauty,0.59,2
CUST0155,59,Male,Married,None,Self-employed,40479,28,Gold,48,0.4,Online,27,352.01,South,92,Groceries,0.31,5
CUST0156,30,Female,Widowed,None,Student,114165,35,None,69,1.8,Both,35,267.01,East,97,Clothing,0.99,2
CUST0157,68,Other,Widowed,None,Professional,70863,60,Platinum,48,6.8,Both,45,436.19,Central,6,Electronics,0.04,1
CUST0158,49,Female,Widowed,Bachelor's,Retired,97569,45,Gold,2,16.7,Online,35,472.57,West,41,Groceries,0.16,3
CUST0159,56,Other,Married,PhD,Retired,31351,46,None,73,6.3,Both,28,247.68,North,15,Home & Living,0.89,3
CUST0160,66,Male,Divorced,PhD,Student,59825,72,None,4,24.5,In-store,39,895.65,West,3,Clothing,0.06,5
CUST0161,69,Female,Married,High School,Student,26349,55,Silver,89,6.0,Both,38,547.12,Central,43,Books,0.89,1
CUST0162,49,Male,Widowed,None,Professional,59254,86,None,60,1.7,In-store,9,978.66,South,47,Beauty,0.72,4
CUST0163,21,Other,Married,PhD,Unemployed,53225,85,Gold,84,5.6,In-store,12,811.92,Central,99,Clothing,0.04,2
CUST0164,47,Other,Married,High School,Student,27453,26,Silver,89,6.1,Online,15,560.15,North,14,Electronics,0.43,4
CUST0165,54,Other,Married,PhD,Unemployed,92694,85,Silver,25,2.3,Both,21,947.57,Central,66,Clothing,0.75,1
CUST0166,40,Male,Divorced,None,Self-employed,30735,25,Gold,71,0.1,In-store,35,509.83,South,29,Books,0.58,5
CUST0167,56,Male,Single,Master's,Retired,62893,65,Platinum,4,6.1,In-store,42,888.24,West,4,Beauty,0.94,1
CUST0168,62,Male,Single,None,Unemployed,142006,6,None,14,0.1,Both,33,364.56,East,26,Home & Living,0.87,5
CUST0169,32,Male,Married,Bachelor's,Retired,60066,23,Silver,15,5.0,In-store,19,384.86,West,12,Books,0.33,4
CUST0170,60,Other,Single,PhD,Unemployed,149445,64,Platinum,0,0.9,Both,23,423.95,South,2,Clothing,0.08,4
CUST0171,46,Other,Single,PhD,Self-employed,25692,87,Gold,15,4.2,Online,13,551.16,South,17,Books,0.94,1
CUST0172,53,Female,Married,Bachelor's,Student,60541,43,None,36,3.5,In-store,44,557.96,North,35,Clothing,0.52,1
CUST0173,30,Female,Married,Bachelor's,Self-employed,81983,23,None,2,0.1,In-store,1,501.43,Central,10,Home & Living,0.07,3
CUST0174,49,Male,Widowed,Master's,Student,135747,96,Silver,51,2.3,Both,29,312.94,Central,86,Home & Living,0.82,5
CUST0175,24,Other,Single,PhD,Student,100103,30,None,46,4.6,Both,24,927.93,West,43,Electronics,0.87,3
CUST0176,68,Other,Divorced,PhD,Retired,40566,77,None,94,9.4,Both,16,592.7,East,21,Home & Living,0.64,2
CUST0177,39,Other,Married,Master's,Self-employed,88193,18,None,12,11.0,Both,25,413.66,East,15,Groceries,0.45,2
CUST0178,45,Female,Widowed,High School,Unemployed,136015,87,None,79,3.3,In-store,23,654.67,North,35,Books,0.66,1
CUST0179,19,Female,Divorced,Master's,Self-employed,145956,79,Gold,54,6.5,Online,28,770.29,South,85,Books,0.71,4
CUST0180,59,Other,Single,None,Retired,85744,97,Platinum,20,1.9,Online,47,961.12,North,85,Clothing,0.89,2
CUST0181,62,Other,Widowed,PhD,Student,48455,21,Gold,65,2.1,Online,16,504.55,Central,85,Home & Living,0.96,2
CUST0182,23,Other,Married,Bachelor's,Retired,69219,57,Gold,53,1.1,Online,43,120.98,South,60,Electronics,0.51,3
CUST0183,45,Female,Divorced,None,Professional,60991,23,Silver,26,4.1,Both,38,446.36,North,44,Electronics,0.8,3
CUST0184,45,Other,Married,PhD,Professional,88616,91,None,37,1.9,In-store,11,484.18,West,96,Electronics,0.96,2
CUST0185,61,Other,Single,Master's,Unemployed,102438,45,Gold,89,0.4,In-store,3,898.02,Central,5,Beauty,0.15,1
CUST0186,61,Male,Divorced,None,Retired,131841,44,None,57,5.8,In-store,15,400.85,East,73,Groceries,0.02,3
CUST0187,37,Male,Single,PhD,Unemployed,73870,82,Gold,61,6.2,Both,1,953.79,North,18,Home & Living,0.87,2
CUST0188,47,Female,Single,High School,Unemployed,101694,88,Gold,45,2.2,In-store,7,490.28,Central,21,Electronics,0.2,4
CUST0189,28,Other,Widowed,High School,Professional,58856,47,Silver,88,0.4,Both,1,974.04,Central,72,Groceries,0.04,3
CUST0190,45,Other,Married,Bachelor's,Unemployed,116407,40,Platinum,10,2.8,In-store,49,18.12,East,98,Books,0.16,2
CUST0191,42,Male,Divorced,PhD,Professional,46379,51,Platinum,71,2.9,Online,32,899.83,East,74,Clothing,0.38,5
CUST0192,56,Female,Single,High School,Student,79729,42,Gold,7,5.5,Both,9,931.81,East,51,Home & Living,0.22,3
CUST0193,50,Male,Single,Master's,Retired,69353,7,Silver,96,1.9,In-store,29,961.41,North,41,Home & Living,0.31,5
CUST0194,18,Male,Divorced,PhD,Unemployed,29031,50,None,70,5.7,Online,26,22.95,East,24,Beauty,0.98,3
CUST0195,44,Male,Single,Master's,Professional,80982,48,None,63,10.3,Online,23,179.98,West,24,Books,0.7,3
CUST0196,69,Male,Widowed,Master's,Self-employed,51683,84,Gold,20,1.4,Online,45,657.23,Central,96,Home & Living,0.71,5
CUST0197,30,Other,Widowed,High School,Unemployed,129091,91,Platinum,71,19.3,Both,43,35.22,East,97,Beauty,0.09,1
CUST0198,58,Other,Widowed,PhD,Student,132797,6,Silver,62,2.4,Both,29,72.97,Central,38,Beauty,0.73,2
CUST0199,20,Male,Widowed,None,Student,21587,91,Platinum,84,1.6,In-store,38,228.87,South,44,Beauty,0.74,1
CUST0200,56,Female,Single,High School,Self-employed,77790,9,None,63,2.7,Online,33,517.32,South,57,Home & Living,0.66,1
CUST0201,23,Female,Divorced,High School,Professional,46480,57,Platinum,19,0.5,In-store,7,550.44,East,59,Home & Living,0.23,2
CUST0202,25,Female,Divorced,PhD,Unemployed,38569,31,None,7,0.7,In-store,12,43.92,Central,34,Home & Living,0.42,4
CUST0203,44,Female,Divorced,PhD,Professional,26151,21,Silver,57,2.7,Online,31,178.66,South,75,Groceries,0.85,1
CUST0204,26,Male,Divorced,Master's,Student,59739,90,Silver,45,7.2,In-store,32,504.71,East,95,Beauty,0.67,1
CUST0205,54,Other,Married,PhD,Professional,47954,40,Gold,30,11.5,Both,20,598.0,Central,82,Groceries,0.73,1
CUST0206,50,Female,Divorced,Master's,Student,124373,45,Gold,92,5.5,In-store,17,156.92,East,23,Clothing,0.59,4
CUST0207,68,Male,Married,High School,Professional,49700,77,Platinum,8,0.6,Online,36,404.85,Central,86,Home & Living,0.45,3
CUST0208,59,Female,Married,Bachelor's,Self-employed,138728,49,Silver,14,5.6,Both,3,905.36,South,43,Books,0.76,5
CUST0209,61,Female,Widowed,None,Retired,81788,87,Silver,93,5.0,Both,1,998.91,East,82,Electronics,0.07,5
CUST0210,41,Male,Married,High School,Self-employed,86045,20,Gold,25,8.2,In-store,27,987.34,South,40,Clothing,0.67,4
CUST0211,32,Other,Single,PhD,Self-employed,142992,92,None,9,8.7,In-store,47,882.86,East,47,Electronics,1.0,1
CUST0212,49,Other,Married,None,Retired,95059,17,Platinum,28,10.1,Both,40,400.71,North,41,Electronics,0.78,5
CUST0213,49,Male,Widowed,Bachelor's,Retired,16881,28,Platinum,79,2.7,In-store,33,689.71,South,47,Home & Living,0.29,4
CUST0214,41,Other,Married,Bachelor's,Unemployed,147702,41,Gold,35,6.0,Online,20,422.43,South,20,Books,0.28,2
CUST0215,58,Male,Single,Master's,Unemployed,35789,66,Silver,83,1.6,In-store,14,652.04,West,77,Electronics,0.67,5
CUST0216,69,Male,Single,None,Self-employed,141083,25,Gold,36,36.6,In-store,36,316.34,South,65,Beauty,0.9,2
CUST0217,66,Male,Single,Master's,Self-employed,103059,58,Gold,85,1.0,Both,5,610.14,Central,68,Electronics,0.58,1
CUST0218,66,Other,Widowed,High School,Student,61151,41,Gold,70,0.1,In-store,23,528.52,East,24,Clothing,0.53,5
